
2019/12/12 23:37:57,35
2019/12/12 23:37:59,36
2019/12/12 23:38:03,37
2019/12/12 23:38:07,38
2019/12/12 23:38:12,39
2019/12/12 23:38:19,40
2019/12/12 23:38:27,41
2019/12/12 23:38:28,40
2019/12/12 23:38:33,39
2019/12/12 23:38:34,40
2019/12/12 23:38:40,41
2019/12/12 23:38:51,42
2019/12/12 23:39:07,41
2019/12/12 23:39:14,42
2019/12/12 23:39:28,43
2019/12/12 23:43:35,36
2019/12/12 23:44:35,34
2019/12/12 23:45:35,33
2019/12/12 23:46:35,32
2019/12/12 23:49:35,31
2019/12/12 23:57:35,30
2019/12/14 18:43:10,32
2019/12/14 18:43:26,33
2019/12/14 18:48:30,31
2019/12/14 19:06:46,30
2019/12/14 20:06:02,29
2019/12/14 20:14:13,30
